Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Scrypt,2,100000000.0,100000000.0
Ethash,2,10495278.0,16906397.0
X13,0,23042604.0,50000000.0
Blake2b,2,33098296530.0,0.0
SHA-256,0,43059794.804778,1000000000.0
X15,0,13530556.4180753,26298000.0
X11,2,15867695.0,16000000.0
SHA-256,2,20997476.865023103,21000000.0
BLAKE256,0,10365046.928166099,21000000.0
Scrypt,2,210000000.0,210000000.0
1GB AES Pattern Search,2,11448949.0,81962100.0
SHA-256,0,3669691.84494672,22000000.0
X11,0,10996318099.0,26550000000.0
Scrypt,2,69836100.0,84000000.0
SHA-256,0,5129014.0,10500000.0
SHA-256,2,21739971929.0,21626280000.0
NIST5,0,10069449031.9252,0.0
Scrypt,0,8998743.2411911,42000000.0
Scrypt,2,40477042.0,221052632.0
X11,2,45110324.0,84000000.0
Dagger,2,5702048.0,30000000.0
Scrypt,2,636462.55983338,168351300.0
X11GOST,2,17263355.0,24000000.0
X11,0,10407269.788186802,384000000.0
Scrypt,2,36971236046.8073,99000000000.0
SHA-256,0,4377081.60953993,40000000.0
Scrypt,2,2147483647.0,2147483647.0
PoS,2,20000000.0,20000000.0
Scrypt,2,6570807.65677618,20000000.0
ScryptOG,2,84000000.0,84000000.0
X11,2,13654082.4987998,25000000.0
X11,0,134554941.15118998,75000000.0
SHA-256,0,1195525.0,222725000.0
SHA-256,0,16662820.0,525000000.0
NIST5,0,83450403.0,90000000.0
X11,0,24387724.5010828,139000000.0
Scrypt,2,616448.0,616448.0
POS 3.0,2,38589808.6658096,33500000.0
Scrypt,0,813092338.575672,2000000000.0
Scrypt,0,4526324.0,44333333.0
Scrypt,0,100000000.0,100000000.0
X13,2,5000000.0,200000000.0
X11,2,1377917.0,25000000.0
X11,2,657000000.0,657000000.0
Equihash,2,115898131.0,200000000.0
X11,0,15563873.0,50000000.0
Scrypt,0,43165500.0,90000000.0
CryptoNight,2,7822432.72439746,10000000.0
SHA-256,0,595429.0,21000000.0
SHA-256,2,6243840.0,9736000.0
X11,0,657636.34549789,3000000.0
Scrypt,0,2581970.0,21000000.0
Multiple,2,1000000000.0,1200000000.0
Scrypt,0,1939889.0,0.0
Scrypt,2,116845228.0,200000000.0
Scrypt,2,169598616.0,0.0
SHA-256,2,9106714.0,10638298.0
Scrypt,2,665200057.0,3100000000.0
Scrypt,2,11119200.0,30000000.0
SHA-256D,0,19577787259.0,20000000000.0
PoS,2,74033806.79496829,74000000.0
Scrypt,0,33522957.0,0.0
X11,0,264678458.28861898,1500000000.0
Lyra2Z,2,7568281.24956067,21400000.0
PoS,2,148716816.0,39999898.0
X13,2,2500124.0,2500124.0
X14,0,100000000.0,100000000.0
PoS,2,17818682.1654,301000000.0
SHA-256D,0,1082162635.5368302,7506000000.0
Ethash,2,26205539.0,26205539.0
Equihash,2,5613550.0,21000000.0
DPoS,2,108202084.0,125000000.0
X11,0,18342813.0,30000000.0
Scrypt,2,196297971.0,10000000000.0
X11,2,824000000.0,500000000.0
X13,0,92192822723.0,850000000.0
X11,0,3853326.77707314,3853326.77707314
PoS,2,50000000.0,50000000.0
Scrypt,0,17089600.0,38540000.0
Scrypt,0,2449577.41533168,42000000.0
X11,2,61364813.0,228000000.0
PoS,2,20000000.0,20000000.0
X11,0,6069482.07721352,60000000.0
SHA-256,0,12416554.0,20000000.0
Scrypt,0,20244023.640728,33000000.0
X11,2,75590369.0,76500000.0
Scrypt,0,11080722.3769581,28000000.0
Scrypt,0,10914418.0,650659833.0
X11,0,814671.0,5000000.0
CryptoNight,2,978145.0,21000000.0
Scrypt,0,8377873.0,144000000.0
Scrypt,2,33813143821.8337,32514916898.0
Scrypt,0,3472983.0,13000000.0
Scrypt,0,3315789.0,3315789.0
Quark,2,10517772.7391666,15000000.0
QuBit,0,30227750.0,78835200.0
Scrypt,2,894026.0,2714286.0
CryptoNight,2,9357088.0,25000000.0
Lyra2RE,2,1876146.4435959999,9999999.0
Scrypt,0,23965372.0,500000000.0
SHA-256,0,2526078.47525448,21000000.0
X11,0,5659096.95728771,9354000.0
Scrypt,0,11821728.0,20000000.0
X11,2,536982074.0,100000000000.0
Scrypt,0,308179.0,21933333.0
CryptoNight-V7,2,10969318.522954,185000000.0
Scrypt,2,2922613.96424908,55000000.0
Scrypt,2,110000000.0,110000000.0
Scrypt,2,3115258.0,3360000.0
X13,2,14524851.4827,14524851.4827
X11,2,30385540.0,1000000000.0
Equihash,2,6921653.89980891,17000000.0
Scrypt,0,1000000000.0,1000000000.0
Scrypt,2,99843408.3158479,100000000.0
Lyra2RE,2,18545757.5,21000000.0
Scrypt,2,36050365.0,34426423.0
Dagger-Hashimoto,2,2232901.0,2232901.0
X11,0,13162749.085802699,100000000.0
Blake2S,0,12184195.9258495,36900000.0
X11,0,110630387.85047099,110000000.0
Scrypt,2,64096052.0,4000000000.0
PoS,2,111135836.889,110290030.0
X11,0,21521322.0099142,100000000.0
NIST5,2,10123200.0,48252000.0
PoS,2,401421401.0,400000000.0
X11,0,121665451.643876,500000000.0
Scrypt,0,5368934.0,21212121.0
Scrypt,0,1148324.0,28600000.0
Scrypt,0,500000.0,1000000000.0
SHA-256,2,100545745.0,75000000000.0
X11,0,17171382.0,40000000.0
Scrypt,2,20276099.146523997,35520400.0
Scrypt,2,295135466.361878,2000000000.0
SHA-256,2,1317747500.0,2500000000.0
PoS,2,11390225.974277198,30000000.0
Scrypt,0,21358764.0,105000000.0
X15,0,40659020000.0,90000000000.0
SHA-256,2,10343113.0,200084200.0
Scrypt,2,13673406.4325268,72000000.0
POS 3.0,2,100000000.0,100000000.0
CryptoNight-V7,2,69036016.8340164,105000000.0
536,0,22801882871.0,50000000000.0
Argon2d,2,19784224.6512734,0.0
Blake2b,2,133248297.0,340282367.0
Cloverhash,2,18407259.0885883,30000000.0
CryptoNight,2,1809467143.0,2000000000.0
NIST5,0,4171382.0,10000000.0
X11,2,35138975.0,100000000.0
NIST5,0,62942075.0,120000000.0
Skein,0,6804362.0,100000000.0
Scrypt,2,18133195.0,19276800.0
X13,0,21268092.0,30000000.0
Scrypt,2,5167775.0,75000000.0
X11,2,26042364.373555303,60000000.0
X11,2,2622886.0,18900000.0
Scrypt,0,9044930943.24243,50000000000.0
CryptoNight,2,14161803.0,54000000.0
X13,0,21917018.0492836,18898187.6216583
Time Travel,2,17801865.1605478,21000000.0
Scrypt,2,163055097500.0,200000000000.0
Keccak,2,2241009149.22257,5000000000.0
SkunkHash v2 Raptor,2,107972766.0,137500000.0
X11,2,122475638.389743,1100000000.0
Skein,0,47331802.477423795,100000000.0
SHA-256,2,17995589.6469082,21000000.0
X11,0,12569262.535930699,9507271.0
Scrypt,2,18663297.348979898,17405891.19707116
VeChainThor Authority,2,55454734800.0,86712634466.0
Scrypt,2,485214.0,10500000000.0
PoS,2,4000000.0,61599965.0
Scrypt,2,143006669741.68698,0.0
Scrypt,2,9704042.0,20000000.0
Scrypt,2,17453749.4042601,84000000.0
Scrypt,2,32646731.063036,100000000.0
Scrypt,2,33716526.0,100000000.0
Scrypt,0,19539588.0,48252000.0
Scrypt,0,4200000.0,4200000.0
CryptoNight,2,8946653.0,88888888.0
SHA-512,2,25000000.0,91388946.0
